,Topic,Count,Name,Representation,Representative_Docs
0,-1,31684,-1_deutschen_arbeit_juden_türken,"['deutschen', 'arbeit', 'juden', 'türken', 'polen', 'auf', 'in', 'nach', 'und', 'als']","[""Nachdem sich der kommandirende Herr General Graf D'Ajasassa nach Pest ins Lager; und der Vicekommandirende Herr General der Kavallerie von Voghera als wirklicher Kommandirender nach Brüssel an die Stelle des den  Brachmonats vorstorbenen   Generalfeldzeugmis ters und Jnhabers eines deutschen Jnfante rie Regiments Herr von Bülow von hier wegbegeben haben, so übernehmen indessen der Herr General der Kavalle rie Graf Emerich Essterhazy das Komman do allhier."", 'Gegenwärtig seynd sie in der Arbeit begriffen an einer Verschan tzung womit man den Hafen umfassen will: Der Feld Marschall Voluine be findet sich seit dem 14den Septemb.', 'Dass die Franzo sen dasiger Orten vieles Getrayd aus des Reichs Landen sich zuführen lassen; auch hätten sie wieder mit den Metzer Juden einen Handl ge schlossen; vermög dessen dieselbe jenen eine Anzahl Pferde aus Teutsch land wieder verschaffen sollen; immassen die Franzosen an Pferden als davon ihnen fast die Hälfte in lezterm Feldzug umgestanden wie auch an Getrayd so bey ihnen schlecht gerahten grossen Mangel leyden sollen; Der Gouverneur zu Landau ComtedeBroglio, lasse zu Unterhaltung seiner Besatzung davon Täglich viele meisters von der Kälte dahinster ben das arme Land fast bis vor Maynz mit Gelt Erpressungen aus saugen; Sonsten verlaute dass die Französische Truppen so die Posten längst des Rheins besetzetbeordret worden dass sie von dar nach Haus zumarschiren sich gefast machen solten; über das habe man auch all Fran zösische Schanz Arbeit so an dem Rhein unlängstens angefangen wor den schon eingestellet.']"
1,0,420,0_königl___,"['königl', '', '', '', '', '', '', '', '', '']","['Königl.', 'Königl.', 'Königl.']"
2,1,400,1_wasser_regen_schaden_wetter,"['wasser', 'regen', 'schaden', 'wetter', 'erdbeben', 'gerissen', 'häuser', 'sturm', 'luft', 'orten']","['Aus Spanien.| Cadix   AM 1sten dieses Morgens um  Uhr und  Minuten fühlten wir alhier ein sehr starkes Erd beben, so unge fähr  Minuten daurete, doch allein in dieser Stadt nur wenig Schaden verursachte, alle Einwohner wurden dadurch in Bewe gung und Schrecken gesetzet, so aber in  Viertel Stunden hernach verdoppelt wurde, weil die See in einer ganz entsetzlichen Hö he bey ganz stillem Wetter angerollet kam, dermassen dass das Wasser in weniger dann einer Minuten von  bis  Fuss hoch aufliesse, und man dachte die ganze Stadt würde überschwemmet werden, der güttige GOtt aber liess dieses Schrecken nicht lan ge dauren, weilen das Wasser in einigen Minuten wieder in sein Lager trat, eine halbe Stund hernach kam das Wasser wie der zu selbiger Höhe, und zum drittenmal  Stunde später, nachgehends aber ver minderte sich dasselbe, darnach bliebe die See bis Mitternachts um  Uhr in einer beständigen eytraordinairen Bewegung.', 'Alleine da sich kurz darauf dieser Sturm wieder geleget, hat man nichts anders als Jammer, Noht und Elend ruffen hören, worauf sich dann bey dem vorgenommenen Au genschein zu Tag geleget, dass in  bis  Minuten  Häuser theils völlig eingerissen, theils aber sehr beschädiget, worden, verschiedene Gärten, Felder und Felsen keller sehr ruinirt, dass kein Mensch, der sol ches ansiehet, sich der Thränen ent halten kan, Unterschiedliches Vieh ist todt geschlagen worden, ver schiedene Menschen blessirt, auch viele Bäume mit samt den Wur zeln aus der Erde gerissen und ent zwey gesprenget worden, dass da hero das Elend nicht genug zu be schreiben  Verwichenen Sonn abend hatten wir alhier in Nürnberg um  Uhr Nachmittags ebenfalls ein schweres Ungewitter, welches in die  Sebalder Kirche einge schlagen; und zwar ist der Strahl oben zum Dach hinein, hat einen grossen Balken völlig zerschmettert alsdann aber in die Kirche auf ei nen kleinen Altar gefahren, alda hat er eine Leiste abgeschlagen, GOtt sey Dank aber weiters keinen Scha den zugefüget.', 'Durch die sich abgeänderte gelinde Witterung ist schon vor  Tagen der hier vorbey lauffende kleine Wien Fluss von dem Eis befreyet und durch das aus dem Gebürge häufig eingeflossene Gewässer dergestalten angeschwollen dass selbes Flüsslein nicht nur seine Schranken uberschritten sondern auch an denen daran ligenden Mühlen und Häusern viel Schaden verursachet wie auch die darüber geschlagene  gröste Stiege aus dem Grund gerissen und weg geschwemmet  Jngleichen ist den  dieses Abends gegen  Uhr der Eis Stoss auf denen alhier vorbey fliessenden gross und kleinen Donau Armen auf einmal loss gebrochen und hat durch das häuffig zugeschwomme ne Eis nicht nur alle Brüken in der Leopoldstadt und am Thabor gänzli weggeführet lilisondern sondern es ist auch durch das Regen Wetter das Wasser derge stalten angeschwollen dass es das Ge statt überstiegen in denen hiesigen Vor Städten Rossau und Leopold Stadt in die Häuser eingedrungen und sehr grossen Schaden verursachet auch alles Bau und etliche hundert Klafter Brenn Holtz so vor dem alhiesigen Neu Thor zum Verkauf aufgerichtet stunde weggeschwemmet ingleichen gantze Schiffe und Flösse zerschmetteret und weg geführet hat auch ist der gan tze Donau Strom dergestalten hoch angeschwollen dass dergleichen grosse Uberschwemmung alhier nicht sobald gesehen worden; und ist man ge müssiget in theils Gässen in der nen Vor Städten Rossau Leopold Stadt und Weissgärbern mit Schif lein herum zu fahren um die JnnJnnLeute Leu| Leute aus denen niedrigen Zimmern zu erretten und selben beyzuspringen.']"
3,2,325,2_feuer_feuers_brunst_brand,"['feuer', 'feuers', 'brunst', 'brand', 'feuerwerk', 'flammen', 'häuser', 'asche', 'abgebrannt', 'rauch']","['Laut letzteren Briefen von Rouen ist alda in der Nacht zwischen dem  und  dieses eine Feuers brunst entstanden welche  Häuser verzehret und  Personen um das Le ben gebracht auch noch viele andere übel beschädiget.', 'Es hat der gerechte GOtt am 13den Dieses gegen Abend um halb  Uhr eine unvermutete gefährliche Feuers Brunst über diese alte Schrift sässige und zum Weissenfelsischen Landes An theil gehörige Stadt verhänget welche durch den sehr heftig wütenden Nord Wind dergestalten um sich ge fressen dass in einer halben Stunde die gantze Ober Stadt in Feuer gerahten die wütende Glut auch sogleich die Un ter Stadt ergriffen und solche binnen gleicher Zeit also in Feuer gesetzet dass die gantze Stadt auf einmal in Flammen gebracht dabey alle menschliche Hülfe verloren gewesen und solche binnen ei ner Stunde bis auf  Wohn Häu ser und die Schule völlig in die Asche geleget worden: worunter insonderheit die schöne aus lauter Quater Steinen erbauete Stadt Kirche mit ihrem an sehnlichen Thurn benebst dem darauf befindlichen und in gantz Thüringen berühmt gewesenen Glocken Geläute zu bedauren: ferner das aus Quater Stücken  Stök hoch aufgeführte Raht Haus die Pfarr des  Diaconi, Küster und Organisten Wohnungen zwey gemeine Bak Häuser so viel Thorr und Thurn Gebäude die Mühl Woh nungen der Marstall und andere Commun   Gebäude nicht weniger zu bejam meren; auch seynd  Personen darbey elendiglich um ihr Leben gekommen: im gleichen die in der Kirchen und SacriSacristey stey verwahrte Kelche Collecten und andere Kirchen Bücher mit dem schö nen Kirchen  Ornat, und anderes mit einander auf einmal durch das Feuer verzehret folglich die gesamte Burger schaft in das äusserste Elend gesetzt worde.| Wien  May 1731.', 'Den  dieses Nachmittags um  Uhr ent stunde in dem Flecken Soligny eine Feuers brunst, und weil damals ein starker Nord wind wähete, so nahme das Feuer dergestalt über hand, dass in anderthalben Stunden die Ein wohner alle ihre Häuser in denen Flammen sa hen, und hierdurch wurden dieselbe in kurzer Zeit in die Asche geleget, indem von allen Gebäu den nichts als die Kirche und drey kleine Hüt ten übrig blieben.']"
4,3,252,3_haus_haushälfte_haunoldisches_hofbaurische,"['haus', 'haushälfte', 'haunoldisches', 'hofbaurische', 'pflegerisches', 'hallbergisches', 'frassisches', 'pamperlisches', 'göblisches', 'jetzingerisches']","['Kernische Haushälfte.', 'Hofbaurische Haushälfte.', 'Hofbaurische Haushälfte.']"
5,4,222,4_durchl_wilh_didak_durchs,"['durchl', 'wilh', 'didak', 'durchs', '', '', '', '', '', '']","['Durchl.', 'Durchl.', 'Durchl.']"
6,5,201,5_majest_ma__,"['majest', 'ma', '', '', '', '', '', '', '', '']","['Majest.', 'Majest.', 'Majest.']"
7,6,196,6_alt_wieden_tagl_68,"['alt', 'wieden', 'tagl', '68', 'neustift', 'schneid', '56', 'mich', '63', '66']","['Andrä Reinl, Tagl alt 56   Hofbauer, Hutzuricht alt 49  Anna  Mann, Tagl.', 'Mich Ertl, Tagl, alt 68  zu Gumpend.', 'Josepha, alt 68  zu  Ulrich   Dem  Kranck, Tagl.']"
8,7,170,7_kayserl_kays_kay_heute,"['kayserl', 'kays', 'kay', 'heute', 'brieffen', 'serl', 'regierenden', 'kayserliche', 'basset', 'ferraresischen']","['der Kayserl.', 'Der Kayserl.', 'Der Kayserl.']"
9,8,170,8_schiffe_flotte_schiffen_arbeit,"['schiffe', 'flotte', 'schiffen', 'arbeit', 'hafen', 'häfen', 'bord', 'neuyork', 'ostende', 'auslauffen']","['an der Einfahrt des Hafens von Neuyork gesehen worden, und die Flotte selbigen Abends mit günstigem Winde angelangt  Die Flotte, unter dem Admirale Howe, welche aus England am  May abgesegelt, war noch nicht allda ange kommen; wurde aber stündlich erwartet.', 'erhalten, dass der Admiral Byng würklich in die Mittelländische See eingeloffen seye, so hat dieses Anlass gegeben wol zu glauben, dass diese Flotte eine Eng ländische Flotte seyn dörfte, von welcher man aber, wegen widrigen Winden, noch keine gewissere Nachricht gehabt habe, wie dann auch in der That den  und folgen de Täge, in der Gegend von Mahon die Winde sehr widrig waren.', 'Um  Uhr des Morgens erblickte ermeldetes Schif, verschie dene Schiffe, und Fregatten, da es aber keine grosse Schiffe wahrnahm, so richtete es mit noch  andern Schiffen und  Fregatten, welche zu demselben gestossen wa ren seinen Lauf nach Cadix; indessen setzte die Flotte des Herrn de la Clüe, welche noch aus sieben Kriegs schiffen bestunde, seine Reise fort, und mit Anbruch des Tages sahe man verschiedene Schiffe, welche von der Meer enge herkamen.']"
