Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
DEn  dito hat man dass die Land Militz welche hin und wieder in Oesterreich auffgebotten worden theils zu Stockerau theils anderwerts ihren vorgesetzten Officiers diser Tagen übergeben worden umb sie in denen Waffen zu  exerciren.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
in   stehende Regimenter beordert ihren March schlei nig gegen Hungarn herabzunehmen umb denen Rebellen nebst den all da schon befindliche Völckern  resistiren zuhelffen und die Feinde zu dämpf fen welche sich immer verstärcken weiter umb sich greiffend zimblich Zu lauff haben weilen der Ragotzi ihnen alle Freyheit verspricht; Kalo ha ben sie schon  emportiret allwo die meiste Mousquetiers zu ihnen gangen der Lieutenant aber nach Tokay  convoyret worden; die Posten gegen Zatmar und Sibenbürgen seynd alle schon gesperrt womit sie nicht weiter gehen|  können.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Herr General Solari und Vaubonne hätten sich bey Roveredo  conjungirt und werden suchen den Feind auff alle Weiss Abbruch zu thun.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Gestern Vor mittag ist zwischen denen Käyserlichen Trouppen unterm Herrn General delaTour bey Wenderdingen und denen hinauff  commandirten Frantzö sischen Detachement eine etlich stündige Rencontre vorbey gangen wor bey| bey die Letztere den Kürtzern gezogen wie dann gar viel Wägen mit  Blessirten nacher Ulm geführet worden und soll darbey sich der  Commendant zu Ulm selbsten befinden.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Der Herr Graf  Veritá, sey sambt  Hatschiren auch erschlagen worden welche Grafen  Chur fürstl.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Eodem brachte der auss Tyrol gekommene  Courier, dass ob zwar der DucdeVendôme schier biss auff Trient jenseiths der Etsch  avanciret beede Generalen Vaubonne und Solari mit ihren Trouppen sich also  postiret dass er bey ihnen ohnmöglich durchbrechen könne und wann das Detachement von etlichen Regimentern so Jhr Excellenz Herr Guido Graff von Stahrenberg Willens ist an sie abzuschicken ankommen solte dem Feind gesambter Hand auff dem Rucken nachzugehen und ihme ei nes zuversetzen Willens wären; Herr General Heister stünde mit seiner Mannschafft auff dem Brenner umb den Bäyrischen wann solche wider hinauff kommen wolten den Weeg hinab zu weisen; So seye auch der Churfürst in Bäyern welcher etliche Tag zu München gewesen seyn soll bey sein noch übrigen Trouppen zu Seefeld wieder angelangt und lasse allda sich wacker einschantzen habe auch von dorten rings umb ein Stund weit Wachten aussstellen lassen: die Bauren hingegen so wieder in  Scharmützel zusammen biss  Bäyern niedergemacht halten Kopff stein noch umbringt und sollen eine starcke Parthey davon nach dem Pass Ehrenberg gegangen seyn umb die Vestung zuüberrumpeln oder auff der Bäyeris.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Eod: kam sichere Nachricht auss Ober Hungarn dass  Obrist Wacht meister Becker abermahl auff em Parthey Rebellen und Räuber gestos sen 1000. davon getödtet und den Rest in die Flucht gejaget.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
zu Pfaltz noch einige Regimenter zu Fuss werben lassen; Der Bischoff von Mün ster hat auch noch ein neües Regiment Land Militz unter dem Obristen Zimmer  formiren lassen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"dess Herrn Bischoffs zu Eutin Reichs  Contingent, wie auch dess Herrn Obristen von Osten Hollsteinische Dragoner Regiment so alle wol  montirt und brave Leüthe sind den  hujus auss den Eutinischen auffgebrochen und haben zu Schwartau ihr Rendevous gehalten daselbst sie ins gesambt von Jhrer Durchl.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Unsere Moscowitische Flotte ist auff die Zeitung dass vill Frantzösische Schiffe in die Nord See kreutzen zu Kirkordie, mit den Convoyers eingelauffen.",6,6_türken_russischen_russische_russisch,"['türken', 'russischen', 'russische', 'russisch', 'russen', 'russland', 'petersburg', 'juden', 'rus', 'hungarn']",,türken - russischen - russische - russisch - russen - russland - petersburg - juden - rus - hungarn,False
Man glaubet dass die Festung Geldern wohl ehe sten  bombardiret werden dürffte weil zu Wesel alle Anstalten darzu fertig seynd und nur noch einige Constabler und Bombardirer von Berlin erwartet werden.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Regimenter sollen geschlagen haben mit hin die völlige Ernd in ihre Retirade zu bringen Zeit gewonnen hätten welches aber mehr Confirmation braucht.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
